,TITLE,REGION,SPECIFIC REGION,HIGHEST,lat,lon,COAST,RIVERS,LAKES,WATERFALLS,OLD GROWTH,FALL FOLIAGE,WILDFLOWERS/MEADOWS,MOUNTAIN VIEWS,SUMMITS,WILDLIFE,RIDGES,ESTABLISHED CAMPSITES,DIFFICULTY,LABEL
71,Lundin Peak,Snoqualmie Region,Snoqualmie Pass,6057.0,47.428029,-121.413413,0,0,0,0,0,0,1,1,1,0,1,0,very strenuous,4
72,Columbia Mountain,Eastern Washington,Okanogan Highlands/Kettle River Range,6565.0,48.65928538,-118.8587826,0,0,0,0,0,0,1,1,1,0,0,0,strenuous,6
73,Lena Lake,Olympic Peninsula,Hood Canal,2000.0,47.59973333,-123.1511833,0,0,1,1,1,0,1,1,0,0,0,1,moderately strenuous,10
74,Nooksack Cirque,North Cascades,Mount Baker Area,2840.0,48.88988333,-121.6749167,0,0,0,0,1,0,0,1,0,0,0,0,moderately strenuous,5
75,Deer Park to Maiden Peak,Olympic Peninsula,Northern Coast,6200.0,47.94967675,-123.264753,0,0,0,0,0,1,1,1,1,1,1,1,strenuous,4
76,Cape Alava,Olympic Peninsula,Pacific Coast,350.0,48.15369715,-124.6687281,1,1,0,0,0,0,0,0,0,1,0,1,easy,3
77,Circle Peak,North Cascades,Mountain Loop Highway,5983.0,48.22338605,-121.3500881,0,0,0,0,0,0,1,1,1,0,1,0,very strenuous,4
78,Rampart Ridge - Rampart Lakes,Snoqualmie Region,Snoqualmie Pass,5100.0,47.3979629,-121.2843441,0,1,1,1,0,0,0,1,0,0,1,1,very strenuous,10
79,Owyhigh Lakes,Mount Rainier Area,NE - Sunrise/White River,5275.0,46.890517,-121.596783,0,0,1,0,1,0,1,1,0,1,0,1,strenuous,8
80,Mount Zion,Olympic Peninsula,Hood Canal,4274.0,47.9228,-123.0260667,0,0,0,0,0,0,0,0,0,0,0,0,moderately strenuous,9
81,"Stagman Ridge, Horseshoe Meadow, Lookingglass Lake",South Cascades,Mount Adams Area,6100.0,46.14005808,-121.5973878,0,0,0,0,1,0,1,1,0,1,1,1,very strenuous,8
82,Humpback Mountain,Snoqualmie Region,Snoqualmie Pass,5112.0,47.37841085,-121.5161877,0,0,0,0,0,0,0,1,1,0,1,0,moderately strenuous,4
83,Cable Line Trail,Issaquah Alps,Tiger Mountain,2522.0,47.52960425,-121.9843769,0,0,0,0,0,0,0,0,0,0,0,0,moderately strenuous,9
84,Thorp Mountain Lookout via Thorp Creek,Snoqualmie Region,Salmon La Sac/Teanaway,5884.0,47.37325953,-121.1582186,0,0,1,0,0,1,1,1,1,0,0,0,strenuous,6
85,Skyscraper Pass,Mount Rainier Area,NE - Sunrise/White River,7079.0,46.9146,-121.6423,0,0,0,0,0,0,0,1,0,0,1,0,strenuous,11
86,Wildwood Park,Puget Sound and Islands,Seattle-Tacoma Area,354.0,47.16970211,-122.2813511,0,0,0,1,0,1,0,0,0,0,0,0,easy,2
87,Kukutali Preserve,Puget Sound and Islands,Bellingham Area,230.0,48.42097114,-122.5529449,1,0,0,0,1,1,0,0,0,1,0,0,easy,3
88,Mount Aix,Mount Rainier Area,Chinook Pass - Hwy 410,7766.0,46.8139,-121.3055,0,0,0,0,0,0,0,1,1,0,1,0,very strenuous,4
89,Little Bald Mountain,Mount Rainier Area,Chinook Pass - Hwy 410,4602.0,46.98152656,-121.1205597,0,0,0,0,0,0,1,1,1,0,1,0,very strenuous,4
90,Rattlesnake Trail,Mount Rainier Area,Chinook Pass - Hwy 410,3000.0,46.79555923,-121.1009135,0,1,0,0,0,0,0,0,0,1,0,0,moderate,13
91,Burnt Mountain,South Cascades,White Pass/Cowlitz River Valley,6586.0,46.71515,-121.1660167,0,0,0,0,0,0,1,1,1,1,1,0,moderate,4
92,American Ridge,Mount Rainier Area,Chinook Pass - Hwy 410,6310.0,46.9695,-121.168,0,1,1,0,0,0,0,1,0,0,1,1,very strenuous,8
93,Bonaparte Trail,Eastern Washington,Okanogan Highlands/Kettle River Range,7250.0,48.812851,-119.123565,0,0,1,0,0,0,0,0,1,0,0,0,very strenuous,6
94,Little Quilcene River,Olympic Peninsula,Hood Canal,6200.0,47.88663792,-123.0418818,0,0,0,0,0,0,1,1,1,1,1,0,strenuous,4
95,Lake Angeles,Olympic Peninsula,Northern Coast,4196.0,48.03908333,-123.4319333,0,0,1,0,0,0,0,0,0,0,0,1,strenuous,8
96,Lily and Lizard Lake Loop,Puget Sound and Islands,Bellingham Area,2120.0,48.61699503,-122.3857856,0,0,1,1,1,0,1,1,0,1,1,1,moderately strenuous,10
97,Big Gulch,Puget Sound and Islands,Seattle-Tacoma Area,460.0,47.9150497,-122.2975571,0,0,0,0,0,1,1,0,0,1,0,0,easy,7
98,Spray Park,Mount Rainier Area,NW - Carbon River/Mowich,6500.0,46.9327,-121.8636167,0,0,0,1,1,0,1,1,0,1,0,0,strenuous,2
99,Mount Adams South Climb,South Cascades,Mount Adams Area,12276.0,46.13586399,-121.4976034,0,1,0,0,0,0,0,1,1,0,0,1,very strenuous,6
100,Little Mashel Falls -  Bud Blancher Trail,Mount Rainier Area,NW - Carbon River/Mowich,1100.0,46.864669,-122.25757,0,1,0,1,1,0,0,0,0,1,0,0,moderate,2
101,Teneriffe Falls,Snoqualmie Region,North Bend Area,2370.0,47.486866,-121.709682,0,0,0,1,0,0,1,1,0,0,0,0,moderately strenuous,2
102,Grand Valley - Cameron Creek Loop,Olympic Peninsula,Northern Coast,6628.0,47.9485227,-123.2591073,0,1,1,0,0,0,0,1,0,0,1,1,very strenuous,8
103,Mother Mountain Loop,Mount Rainier Area,NW - Carbon River/Mowich,6380.0,46.9327668,-121.8631679,0,1,1,1,0,0,1,1,0,0,1,1,very strenuous,10
104,Cameron Pass,Olympic Peninsula,Hood Canal,6418.0,47.9485227,-123.2591073,0,1,0,0,0,0,1,0,0,0,1,0,strenuous,11
105,Cameron Creek,Olympic Peninsula,Hood Canal,4210.0,47.91551871,-123.2481802,0,1,0,0,0,0,0,0,0,0,0,1,very strenuous,1
106,Three Forks,Olympic Peninsula,Northern Coast,5381.0,47.94902749,-123.2583618,0,1,0,0,0,0,0,1,0,0,0,1,very strenuous,1
107,Grand Valley Loop,Olympic Peninsula,Northern Coast,6450.0,47.91829785,-123.3822155,0,0,0,0,1,0,1,0,0,1,0,1,strenuous,8
108,Round Pass Trail,Mount Rainier Area,SW - Longmire/Paradise,3885.0,46.79500627,-121.8947268,0,0,0,0,0,0,0,1,0,0,0,0,easy,5
109,Frying Pan Loop,South Cascades,White Pass/Cowlitz River Valley,3261.0,46.70421813,-121.4806339,0,0,1,0,0,1,0,1,1,0,0,1,very strenuous,6
110,Crystal Lakes,Mount Rainier Area,NE - Sunrise/White River,5828.0,46.92273333,-121.5336167,0,0,1,0,1,0,1,1,0,1,0,1,strenuous,8
111,Jumbo Peak,South Cascades,Dark Divide,5801.0,46.33538333,-121.7433833,0,0,0,0,0,0,1,1,1,0,0,0,moderately strenuous,6
112,Jolly Mountain,Snoqualmie Region,Salmon La Sac/Teanaway,6440.0,47.4044,-121.099117,0,0,0,0,0,0,1,1,1,0,1,0,very strenuous,4
113,Japanese Gulch,Puget Sound and Islands,Seattle-Tacoma Area,363.0,47.94676382,-122.2920799,0,1,0,1,1,0,0,1,0,0,0,0,easy,2
114,Jumpoff Ridge,Central Cascades,Stevens Pass - West,2600.0,47.8537658,-121.5022057,0,0,0,0,0,1,0,1,0,0,1,0,strenuous,11
115,Johnson Creek - Medra Pass,Snoqualmie Region,Salmon La Sac/Teanaway,5420.0,47.3812,-120.885733,0,1,0,0,0,0,1,1,0,0,1,0,strenuous,11
116,June Lake Snowshoe,South Cascades,Mount St. Helens,3140.0,46.1352375,-122.1568904,0,1,1,1,1,0,0,1,0,0,0,0,moderate,2
117,Jug Lake,South Cascades,White Pass/Cowlitz River Valley,4480.0,46.72303333,-121.4366,0,0,1,0,0,0,0,0,0,0,0,1,moderately strenuous,8
118,Junction Lake,South Cascades,Mount Adams Area,4780.0,45.98114209,-121.7581594,0,0,1,0,1,0,1,0,0,0,0,1,moderate,8
119,Indian Racetrack,South Cascades,Mount Adams Area,5200.0,46.1298056,-121.8392125,0,0,1,0,0,0,1,1,0,0,0,0,moderate,12
120,Howson Creek,Snoqualmie Region,Salmon La Sac/Teanaway,5700.0,47.3514085,-121.1043602,0,0,0,0,0,0,1,1,1,0,1,0,very strenuous,4
121,Illahee Forest Preserve,Olympic Peninsula,Kitsap Peninsula,530.0,47.597645,-122.59798,0,0,0,0,0,1,0,0,0,1,0,0,easy,7
122,Hawkins Mountain,Snoqualmie Region,Salmon La Sac/Teanaway,7160.0,47.45383312,-121.0416985,0,0,1,0,0,0,1,1,1,0,0,0,very strenuous,6
123,Holden to Hart Lake,Central Cascades,Entiat Mountains/Lake Chelan,3982.0,48.199517,-120.779208,0,0,1,1,0,1,0,1,0,0,0,1,moderately strenuous,10
124,High Lakes Ramble,South Cascades,Mount Adams Area,4370.0,46.29296667,-121.5959833,0,1,1,0,0,0,1,1,0,1,0,0,moderately strenuous,12
125,Hibox Mountain,Snoqualmie Region,Snoqualmie Pass,6560.0,47.40076024,-121.2840414,0,0,0,0,0,0,1,1,1,0,0,0,very strenuous,6
126,Heart O' the Forest,Olympic Peninsula,Northern Coast,1900.0,48.03504439,-123.4245149,0,1,0,0,1,0,1,0,0,0,0,1,moderate,1
127,Henskin Lake,Mount Rainier Area,Chinook Pass - Hwy 410,5550.0,46.93690918,-121.4692318,0,0,1,0,0,0,1,0,0,0,0,0,moderately strenuous,12
128,Haney Meadow Loop Snowshoe,Central Cascades,Blewett Pass,5960.0,47.3348885,-120.580815,0,0,0,0,0,0,0,1,0,0,1,0,strenuous,11
129,Greenbank Farm,Puget Sound and Islands,Whidbey Island,300.0,48.11132827,-122.5756216,0,0,0,0,0,0,0,1,0,1,0,0,moderate,5
130,East Tiger,Issaquah Alps,Tiger Mountain,3004.0,47.50755266,-121.9582254,0,0,0,0,0,0,0,0,0,0,0,0,very strenuous,9
131,Silent Swamp Loop,Issaquah Alps,Tiger Mountain,1780.0,47.46831145,-121.9362044,0,0,0,0,0,1,1,1,0,1,0,0,moderately strenuous,7
132,Inside Passage,Issaquah Alps,Tiger Mountain,2150.0,47.46837457,-121.9363104,0,1,0,0,0,1,0,0,0,1,0,0,moderately strenuous,7
133,Freund Canyon,Central Cascades,Leavenworth Area,3000.0,47.62858248,-120.6558037,0,0,0,0,0,0,0,1,0,0,0,0,strenuous,5
134,Esmeralda Peak Loop,Snoqualmie Region,Salmon La Sac/Teanaway,6000.0,47.44318219,-120.9399033,0,1,0,0,0,0,1,1,0,0,1,0,very strenuous,11
135,Easy Pass,North Cascades,North Cascades Highway - Hwy 20,6500.0,48.58791667,-120.8028667,0,0,0,0,0,1,1,1,0,0,1,0,strenuous,11
136,Burroughs Mountain,Mount Rainier Area,NE - Sunrise/White River,7828.0,46.91461667,-121.6423333,0,0,0,0,0,1,1,1,1,1,1,0,very strenuous,4
137,Cooney Lake,North Cascades,Methow/Sawtooth,7260.0,48.22177223,-120.2668674,0,0,1,0,0,1,1,1,0,0,0,0,very strenuous,12
138,Crescent Beach Preserve,Puget Sound and Islands,San Juan Islands,60.0,48.69595,-122.891567,1,0,0,0,0,1,0,0,0,1,0,0,easy,3
139,Boulder Creek,Central Cascades,Leavenworth Area,6310.0,48.00115,-120.9634,0,1,0,0,1,0,1,1,0,1,1,0,very strenuous,11
140,Duncan Hill,Central Cascades,Entiat Mountains/Lake Chelan,7819.0,48.01723584,-120.5894136,0,0,0,0,0,0,1,1,1,1,1,0,very strenuous,4
141,North Fork Entiat River,Central Cascades,Entiat Mountains/Lake Chelan,7150.0,48.01121432,-120.5717969,0,1,1,0,0,1,1,1,0,1,0,1,very strenuous,8
142,Tungsten,North Cascades,Pasayten,6800.0,48.82364948,-120.0188541,0,0,0,0,0,0,1,1,0,0,1,0,very strenuous,11
143,Fern Lake,Central Cascades,Entiat Mountains/Lake Chelan,6950.0,48.01119997,-120.5718881,0,1,1,0,0,0,1,1,0,1,0,0,very strenuous,12
144,Miners Ridge (Entiat),Central Cascades,Entiat Mountains/Lake Chelan,5750.0,47.80016667,-120.57235,0,0,0,0,0,0,0,1,0,0,1,0,moderate,11
145,Beacon Rock State Park - Hadley Trail,Southwest Washington,Columbia River Gorge - WA,750.0,45.62769429,-122.0234513,0,0,0,0,0,0,1,1,0,0,0,0,easy,5
146,Myrtle Falls,Mount Rainier Area,SW - Longmire/Paradise,5600.0,46.78612695,-121.7359132,0,0,0,1,0,0,1,1,0,1,0,0,easy,2
147,Crestwoods Park Trail,Puget Sound and Islands,Seattle-Tacoma Area,235.0,47.69313941,-122.1972831,0,0,0,0,0,0,0,0,0,0,0,0,easy,9
148,Capitol State Forest - Waddell Basin West,Olympic Peninsula,Olympia,1035.0,46.93909815,-123.077538,0,0,0,0,0,0,0,0,0,0,0,0,very strenuous,9
149,Illahee Lake Trail,Puget Sound and Islands,Seattle-Tacoma Area,370.0,47.61672307,-122.025404,0,0,1,0,0,0,0,0,0,0,0,0,easy,12
150,Lyre Conservation Area,Olympic Peninsula,Northern Coast,180.0,48.14730939,-123.8235408,1,0,0,0,0,0,0,0,0,1,0,0,easy,3
151,Sunset Hill Park,Puget Sound and Islands,Seattle-Tacoma Area,290.0,47.68319501,-122.400527,0,0,0,0,0,0,0,1,0,0,0,0,easy,5
152,Nute's Pond Park,Puget Sound and Islands,Seattle-Tacoma Area,280.0,47.58172576,-122.5066566,0,0,1,0,0,0,0,0,0,0,0,0,easy,12
153,Moments in Time Interpretive Trail,Olympic Peninsula,Northern Coast,600.0,48.057893,-123.788611,0,0,1,0,1,0,1,1,0,1,0,0,easy,12
154,Diablo Lake,North Cascades,North Cascades Highway - Hwy 20,1950.0,48.7205841,-121.1216068,0,0,1,0,0,0,0,1,0,0,0,0,moderately strenuous,12
155,White River,Central Cascades,Stevens Pass - East,2507.0,47.96273849,-120.9449988,0,1,0,0,1,0,0,1,0,1,0,0,moderately strenuous,1
156,Jarrell Cove State Park - Harstine Island,Olympic Peninsula,Kitsap Peninsula,175.0,47.2303176,-122.8835855,1,1,0,0,1,0,0,0,0,0,0,0,easy,3
157,Bayshore Preserve,Olympic Peninsula,Olympia,40.0,47.248556,-123.044222,1,0,0,0,0,0,0,0,0,1,0,0,easy,3
158,Galbraith Mountain,Puget Sound and Islands,Bellingham Area,1785.0,48.74400734,-122.4263084,0,0,0,0,0,0,0,1,0,0,0,0,very strenuous,5
159,Ludlow Falls Interpretive Trail,Olympic Peninsula,Hood Canal,100.0,47.91949144,-122.7065563,0,0,1,1,0,0,0,0,0,0,0,0,easy,2
160,Blue Lake Creek,South Cascades,Dark Divide,4000.0,46.41018,-121.73369,0,0,1,1,0,0,0,0,0,0,0,1,moderately strenuous,10
161,Cold Creek Loop via Tinkham and Silver Peaks,Snoqualmie Region,Snoqualmie Pass,4500.0,47.366011,-121.4199016,0,0,1,0,0,1,1,1,0,0,1,1,very strenuous,8
162,North Fork Skykomish River,Central Cascades,Stevens Pass - West,4000.0,47.9279415,-121.2731497,0,1,0,0,1,0,1,1,1,0,1,1,moderately strenuous,11
163,Elk Mountain to Maiden Peak,Olympic Peninsula,Pacific Coast,6625.0,47.93445793,-123.320909,0,0,0,0,0,0,1,1,0,1,1,1,moderately strenuous,11
164,Glacier Basin,Mount Rainier Area,NE - Sunrise/White River,5900.0,46.90215,-121.6436833,0,1,1,0,0,0,1,1,0,1,0,1,moderately strenuous,8
165,Windy Peak Loop,North Cascades,Pasayten,8060.0,48.908329,-119.903878,0,0,0,0,0,0,0,0,1,1,0,0,very strenuous,6
166,Sand Point,Olympic Peninsula,Pacific Coast,100.0,48.15400492,-124.6689892,1,0,0,0,0,0,0,0,0,1,0,1,easy,3
167,Spider Meadow and Phelps Basin,Central Cascades,Stevens Pass - East,5400.0,48.08291667,-120.8349667,0,0,0,0,1,0,1,1,0,1,0,1,very strenuous,8
168,Huckleberry Creek,Mount Rainier Area,Chinook Pass - Hwy 410,6778.0,47.00928924,-121.6171074,0,1,0,0,1,0,0,1,0,0,1,0,very strenuous,11
