,TITLE,REGION,SPECIFIC REGION,DISTANCE,DIST_TYPE,GAIN,HIGHEST,RATING,RATING_COUNT,lat,lon,MOST_RECENT_REPORT_DATE,REPORT_COUNT,COAST,RIVERS,LAKES,WATERFALLS,OLD GROWTH,FALL FOLIAGE,WILDFLOWERS/MEADOWS,MOUNTAIN VIEWS,SUMMITS,WILDLIFE,RIDGES,ESTABLISHED CAMPSITES,DOGS ALLOWED ON LEASH,NO DOGS,KID FRIENDLY,REQUIRED PASSES,URL
10,Middle Point Ridge,Eastern Washington,Palouse and Blue Mountains,8.0,roundtrip,2648.0,5724.0,0.0,0,46.1359,-117.808667,6/16/21 0:00,24,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,,https://www.wta.org/go-hiking/hikes/middle-point-ridge
11,Three Forks,Eastern Washington,Palouse and Blue Mountains,6.6,roundtrip,3100.0,4700.0,0.0,0,,,5/24/20 0:00,3,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/three-forks-3133
12,Packers Trail - Mount Misery Loop,Eastern Washington,Palouse and Blue Mountains,45.0,roundtrip,9234.0,6387.0,0.0,0,46.1538,-117.6511,5/21/20 0:00,2,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,No pass,https://www.wta.org/go-hiking/hikes/packers-trail-mount-misery-loop
13,Turkey Creek,Eastern Washington,Palouse and Blue Mountains,8.0,roundtrip,2060.0,5300.0,4.25,4,,,7/23/19 0:00,11,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/turkey-creek
14,Tucannon River Canyon,Eastern Washington,Palouse and Blue Mountains,8.0,roundtrip,1200.0,3680.0,2.2,5,46.188583,-117.625317,5/31/21 0:00,17,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/tucannon-river
15,Third Creek,Eastern Washington,Palouse and Blue Mountains,34.0,roundtrip,2000.0,,0.0,0,46.0887778,-117.6276668,6/21/13 0:00,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/third-creek-3100
16,Table Rock,Eastern Washington,Palouse and Blue Mountains,1.2,roundtrip,400.0,6250.0,4.5,2,46.03041856,-117.9112753,6/13/21 0:00,7,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,No pass,https://www.wta.org/go-hiking/hikes/table-rock-squaw-peak
17,Smooth Ridge,Eastern Washington,Palouse and Blue Mountains,9.4,roundtrip,2540.0,6529.0,3.4,5,46.11291501,-117.7455482,6/15/21 0:00,14,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/smooth-ridge
18,Cathedral Rock,Snoqualmie Region,Salmon La Sac/Teanaway,8.0,roundtrip,2290.0,5550.0,3.43,14,47.5434644,-121.0969905,10/16/21 0:00,225,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/cathedral-rock
19,Big Creek Trail,Snoqualmie Region,Cle Elum Area,9.0,roundtrip,2400.0,3700.0,0.0,0,47.1844,-121.1373,9/19/21 0:00,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,No pass,https://www.wta.org/go-hiking/hikes/big-creek-trail
20,Taneum Lake,Snoqualmie Region,Cle Elum Area,1.4,roundtrip,100.0,5400.0,4.0,1,47.061798,-121.0306907,10/9/21 0:00,3,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,No pass,https://www.wta.org/go-hiking/hikes/taneum-lake
21,Manastash Ridge,Central Washington,Yakima,16.7,one-way,4600.0,6245.0,3.62,13,47.075206,-121.083096,5/21/21 0:00,74,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/manastash-ridge
22,Granite Creek,Snoqualmie Region,Cle Elum Area,5.0,roundtrip,2600.0,4600.0,0.0,0,47.161729,-121.091218,5/31/21 0:00,11,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,No pass,https://www.wta.org/go-hiking/hikes/granite-creek-1
23,Manastash Lake,Central Washington,Yakima,8.0,roundtrip,2100.0,5063.0,3.89,9,47.0248288,-120.9406422,10/16/21 0:00,82,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/manastash-lake
24,Keenan Meadows,Central Washington,Yakima,3.1,one-way,,,3.33,3,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/keenen-meadow
25,Fishhook Flat,Snoqualmie Region,Cle Elum Area,,,,,1.25,4,,,10/26/18 0:00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/fishhook-flat
26,Shoestring Lake,Central Washington,Yakima,3.6,one-way,,,0.0,0,,,6/17/17 0:00,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/shoestring-lake-1385
27,Taneum Ridge,Snoqualmie Region,Cle Elum Area,12.1,one-way,3200.0,6080.0,3.5,4,47.1112943,-120.9359926,5/24/21 0:00,11,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/taneum-ridge
28,Angel's Rest-Devil's Rest Loop,Southwest Washington,Columbia River Gorge - OR,10.7,roundtrip,2770.0,2308.0,5.0,1,45.56026303,-122.1725821,10/10/19 0:00,11,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,No pass,https://www.wta.org/go-hiking/hikes/angels-rest-devils-rest
29,Siouxon Peak Loop,South Cascades,Dark Divide,15.3,roundtrip,5120.0,4170.0,0.0,0,45.9429912,-122.1853816,5/4/19 0:00,6,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/siouxon-peak-loop
30,Hells Basin,North Cascades,,,,,,4.25,4,,,9/5/21 0:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/hells-basin
31,Hereford Meadows,South Cascades,,,,,,3.5,4,,,10/4/21 0:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/hereford-meadows
32,Heather Lake Snowshoe,North Cascades,Mountain Loop Highway,4.6,roundtrip,1100.0,2440.0,3.67,9,48.0829067,-121.7740047,2/27/21 0:00,101,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/heather-lake-snowshoe
33,Hikers Trail,South Cascades,,,,,,3.5,4,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/hikers-trail
34,Hogsback Route,North Cascades,,,,,,3.0,4,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/hogsback-route
35,High Bridge,South Cascades,,,,,,3.8,5,,,5/23/20 0:00,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/high-bridge
36,Hindoo,South Cascades,,,,,,4.5,4,,,7/4/16 0:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/hindoo
37,Heather Basin,Olympic Peninsula,Hood Canal,,,,,2.8,5,,,8/7/20 0:00,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/heather-basin
38,Grassy Point,North Cascades,Mountain Loop Highway,,,,,2.25,4,,,9/26/18 0:00,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/grassy-point
39,Gold Run Pass,North Cascades,,,,,,3.67,6,,,7/14/17 0:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/gold-run-pass
40,Grant Purcell Falls,South Cascades,,,,,,3.67,6,46.67074604,-121.5874958,8/30/20 0:00,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/grant-purcell-falls
41,Gold Creek,Central Washington,Yakima,,,,,3.7,10,46.96101747,-121.0072031,6/19/21 0:00,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/gold-creek-2
42,Gooseberry Flat,Snoqualmie Region,,,,,,3.0,4,,,3/21/20 0:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/gooseberry-flat
43,Gold Creek,Olympic Peninsula,Hood Canal,,,,,3.0,6,47.9426,-123.0951167,6/4/21 0:00,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/gold-creek
44,Grand Pass,Olympic Peninsula,Northern Coast,,,,,3.71,7,47.91795463,-123.3756623,9/14/21 0:00,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/grand-pass
45,Hamilton Peak,South Cascades,,,,,,3.25,4,,,8/23/09 0:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/hamilton-peak
46,Greenwood Lake,South Cascades,,,,,,2.83,6,46.66640412,-121.8913284,8/22/21 0:00,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/greenwood-lake
47,Hamilton Buttes,South Cascades,Dark Divide,2.0,roundtrip,700.0,5722.0,3.0,4,46.39111667,-121.6179,9/8/18 0:00,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/hamilton-buttes
48,Goose Prairie,South Cascades,,,,,,4.0,5,,,7/25/20 0:00,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/goose-prairie
49,Gold Ridge,Central Cascades,,,,,,2.0,4,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/gold-ridge
50,Greek Creek Basin,South Cascades,,,,,,3.5,4,,,9/9/02 0:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/greek-creek-basin
51,Goat Ridge,South Cascades,,,,,,3.12,8,46.46686667,-121.5265,10/2/21 0:00,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/goat-ridge
52,Gillette Ridge,Eastern Washington,,,,,,2.0,4,48.65848456,-117.7662277,6/30/20 0:00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/gillette-ridge
53,Glacier Creek,Central Cascades,Stevens Pass - East,,,,,3.25,4,47.68976702,-120.7374115,7/5/12 0:00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/glacier-creek
54,Fortune Creek-Van Epps,Snoqualmie Region,Salmon La Sac/Teanaway,,,,,1.5,4,47.4787395,-121.0019441,7/14/20 0:00,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/fortune-creek-van-epps
55,Gatton Creek,Olympic Peninsula,,,,,,2.0,5,,,3/29/21 0:00,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/gatton-creek
56,French Creek,Southwest Washington,Lewis River Region,7.0,roundtrip,700.0,3800.0,3.0,4,46.27781667,-121.79425,9/3/09 0:00,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/french-creek
57,French Ridge,Central Cascades,Leavenworth Area,,,,,2.6,5,47.61337176,-120.9497309,7/1/21 0:00,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/french-ridge
58,Glacier Peak,Central Cascades,,,,,,3.62,8,48.057843,-121.28821,9/4/21 0:00,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/glacier-peak
59,French Butte,South Cascades,,,,,,2.0,4,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/french-butte
60,Skagit-Sauk Reach Trail,North Cascades,North Cascades Highway - Hwy 20,8.0,roundtrip,,300.0,0.0,0,48.48425392,-121.5960803,5/31/21 0:00,29,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,No pass,https://www.wta.org/go-hiking/hikes/skagit-sauk-reach-trail
61,Meadowdale Beach Park - Lunds Gulch,Puget Sound and Islands,Seattle-Tacoma Area,2.5,roundtrip,425.0,425.0,3.69,32,47.85583333,-122.3175167,8/27/21 0:00,227,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,No pass,https://www.wta.org/go-hiking/hikes/lunds-gulch-meadowdale-county-park
62,Mount Finlayson,Puget Sound and Islands,San Juan Islands,3.6,roundtrip,408.0,290.0,4.33,9,48.4637,-122.999117,7/12/21 0:00,27,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,No pass,https://www.wta.org/go-hiking/hikes/mount-finlayson
63,Bessemer Mountain,Snoqualmie Region,North Bend Area,13.0,roundtrip,4100.0,5028.0,3.18,11,47.51588333,-121.6134167,9/21/21 0:00,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Discover Pass,https://www.wta.org/go-hiking/hikes/bessemer-mountain
64,Red Mountain (Commonwealth Basin),Snoqualmie Region,Snoqualmie Pass,8.0,roundtrip,2900.0,5890.0,3.64,11,47.4278288,-121.4134415,10/2/21 0:00,360,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/red-mountain-1
65,Imus Creek Trail,Central Cascades,Entiat Mountains/Lake Chelan,0.7,one-way,150.0,1340.0,0.0,0,,,10/2/21 0:00,5,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,No pass,https://www.wta.org/go-hiking/hikes/imus-creek-trail
66,Northwest Mox Peak,North Cascades,,,,,8407.0,0.0,0,48.948747,-121.262656,6/30/15 0:00,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/mox-peaks-northwest-peak
67,Southeast Mox Peak,North Cascades,,15.0,one-way,7400.0,8504.0,0.0,0,48.947222,-121.256945,6/30/15 0:00,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,,https://www.wta.org/go-hiking/hikes/mox-peaks-southeast-peak
68,Mount Redoubt,North Cascades,,,,,8956.0,0.0,0,48.9551304,-121.3867686,6/30/15 0:00,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,No pass,https://www.wta.org/go-hiking/hikes/mount-redoubt
69,Mount Rahm,North Cascades,,,,,8480.0,0.0,0,48.9977,-121.2306,6/30/15 0:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No pass,https://www.wta.org/go-hiking/hikes/mount-rahm
70,Mount Spickard,North Cascades,,,,,8979.0,0.0,0,48.9698,-121.2406,6/30/15 0:00,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,No pass,https://www.wta.org/go-hiking/hikes/mount-spickard
71,Mount Formidable,North Cascades,,20.0,roundtrip,6100.0,8325.0,0.0,0,48.416177,-121.067504,5/30/15 0:00,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/mount-formidable
72,North Fork Bridge Creek,Central Cascades,Entiat Mountains/Lake Chelan,6.5,one-way,1473.0,4099.0,3.33,3,48.461381,-120.839744,9/3/20 0:00,9,0,1,1,1,0,0,1,1,0,1,0,1,0,1,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/north-fork-bridge-creek
73,Agnes Gorge,Central Cascades,Entiat Mountains/Lake Chelan,5.5,roundtrip,300.0,2000.0,3.0,5,48.38073333,-120.8402833,7/6/20 0:00,18,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,No pass,https://www.wta.org/go-hiking/hikes/agnes-gorge
74,Granite Mountain (Mount Baker),North Cascades,Mount Baker Area,,,,,0.0,0,47.39784897,-121.4865696,9/27/18 0:00,15,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/granite-mountain-mount-baker
75,Upper Stehekin Valley Road Trail,Central Cascades,Entiat Mountains/Lake Chelan,11.4,one-way,1100.0,2400.0,0.0,0,48.38072376,-120.8403095,10/9/20 0:00,18,0,1,0,1,1,1,1,1,0,0,0,1,0,1,0,No pass,https://www.wta.org/go-hiking/hikes/upper-stehekin-valley-road-trail
76,Rainbow Falls Mist Trail,Central Cascades,Entiat Mountains/Lake Chelan,0.25,roundtrip,30.0,1200.0,0.0,0,48.34221266,-120.7012638,10/9/20 0:00,9,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,No pass,https://www.wta.org/go-hiking/hikes/rainbow-falls-mist-trail
77,Howard Lake,Central Cascades,Entiat Mountains/Lake Chelan,3.3,roundtrip,600.0,2180.0,2.33,3,48.38006667,-120.8375667,8/11/20 0:00,4,0,0,1,0,1,1,0,1,0,1,0,0,0,1,1,No pass,https://www.wta.org/go-hiking/hikes/howard-lake
78,Goode Ridge,Central Cascades,Entiat Mountains/Lake Chelan,10.0,roundtrip,4400.0,6600.0,3.5,6,48.43260241,-120.8810577,7/26/18 0:00,5,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,No pass,https://www.wta.org/go-hiking/hikes/goode-ridge
79,Buckner Orchard Walk,Central Cascades,Entiat Mountains/Lake Chelan,1.6,roundtrip,,1200.0,0.0,0,48.34048286,-120.7024781,10/9/20 0:00,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,No pass,https://www.wta.org/go-hiking/hikes/buckner-orchard-walk
80,Stehekin River Trail,Central Cascades,Entiat Mountains/Lake Chelan,7.6,roundtrip,100.0,1200.0,4.0,4,48.34914777,-120.7223654,8/19/21 0:00,4,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,No pass,https://www.wta.org/go-hiking/hikes/stehekin-river-trail
81,Possession Point State Park,Puget Sound and Islands,Whidbey Island,3.0,roundtrip,,,4.0,2,47.90741051,-122.3773527,9/15/21 0:00,10,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Discover Pass,https://www.wta.org/go-hiking/hikes/dorothy-cleveland-trail
82,Ancient Lakes,Central Washington,Potholes Region,12.0,roundtrip,625.0,1200.0,4.08,62,47.15186675,-119.9222913,9/19/21 0:00,522,0,0,1,1,0,0,1,0,0,1,0,1,1,0,1,Discover Pass,https://www.wta.org/go-hiking/hikes/ancient-lakes
83,Dingford Creek-Myrtle Lake,Snoqualmie Region,North Bend Area,11.0,roundtrip,2600.0,3800.0,3.64,11,47.5172007,-121.4552307,8/19/21 0:00,91,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/dingford-creek-myrtle-lake
84,Windy Peak,North Cascades,Pasayten,11.5,one-way,,,4.0,5,48.85548,-119.94525,10/23/21 0:00,24,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/windy-peak
85,Rocky Top and Cowiche Mountain,Central Washington,Yakima,20.0,trails,1148.0,2970.0,4.0,1,46.62777712,-120.6836531,10/29/21 0:00,30,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,No pass,https://www.wta.org/go-hiking/hikes/rocky-top
86,Wright Mountain,Snoqualmie Region,Snoqualmie Pass,11.4,roundtrip,,5430.0,4.22,9,47.44560433,-121.423529,10/19/21 0:00,109,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/wright-mountain
87,Lake Stuart,Central Cascades,Leavenworth Area,9.0,roundtrip,1665.0,5065.0,3.87,23,47.5277,-120.8209833,10/21/21 0:00,357,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/lake-stuart
88,Iron Bear - Teanaway Ridge,Central Cascades,Blewett Pass,6.5,roundtrip,1900.0,5489.0,4.0,37,47.35572395,-120.7176232,11/6/21 0:00,520,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,No pass,https://www.wta.org/go-hiking/hikes/iron-bear
89,Spider Gap - Buck Creek Pass Loop,Central Cascades,Stevens Pass - East,44.0,roundtrip,7200.0,7100.0,4.29,14,48.0673919,-120.8406278,10/3/21 0:00,138,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/spider-gap-buck-creek-pass-loop
90,Batey-Bould,Eastern Washington,,38.2,roundtrip,2000.0,4400.0,2.75,4,48.37111111,-117.3722222,2/15/18 0:00,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,No pass,https://www.wta.org/go-hiking/hikes/batey-bould
91,Grassy Top,Eastern Washington,Selkirk Range,7.6,roundtrip,1000.0,,3.0,4,48.79701248,-117.1320462,8/15/19 0:00,6,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,No pass,https://www.wta.org/go-hiking/hikes/grassy-top
92,Hidden Lake (Lake Wenatchee),Central Cascades,Stevens Pass - East,1.6,roundtrip,220.0,2320.0,3.4,15,47.82163333,-120.8063833,10/15/21 0:00,97,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/hidden-lake-lake-wenatchee
93,Wildside Trail-De Leo Wall,Issaquah Alps,Cougar Mountain,4.2,roundtrip,489.0,1122.0,2.74,19,47.53483333,-122.1288,5/5/21 0:00,177,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,No pass,https://www.wta.org/go-hiking/hikes/wildside-trail-de-leo-wall
94,Yakima Greenway,Central Washington,Yakima,10.0,roundtrip,100.0,1130.0,3.75,4,46.62495492,-120.5322397,2/13/20 0:00,6,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,No pass,https://www.wta.org/go-hiking/hikes/yakima-greenway
95,Windy Pass,North Cascades,Pasayten,7.0,roundtrip,1300.0,6900.0,3.71,14,48.73215,-120.6751167,10/3/21 0:00,58,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/windy-pass
96,Wolf Creek,Olympic Peninsula,Northern Coast,16.2,roundtrip,3800.0,5100.0,3.0,4,47.97040481,-123.5036445,8/22/21 0:00,12,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,National Park Pass,https://www.wta.org/go-hiking/hikes/wolf-creek-1
97,White Mountain via Kettle Crest Trail South,Eastern Washington,Okanogan Highlands/Kettle River Range,28.0,roundtrip,1500.0,6921.0,3.2,5,48.60737639,-118.4781075,5/23/20 0:00,8,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/white-mountain
98,West Fork Buttermilk,North Cascades,Methow/Sawtooth,15.0,roundtrip,3615.0,7480.0,3.25,4,48.31111497,-120.336771,10/3/21 0:00,25,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/west-fork-buttermilk-river
99,Wild Horses Monument,Central Washington,Yakima,0.4,roundtrip,150.0,1300.0,2.33,6,46.9645655,-119.9642694,9/19/21 0:00,27,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/wild-horses-monument
100,West Fork Dosewallips River,Olympic Peninsula,Hood Canal,15.8,roundtrip,2400.0,3600.0,4.33,6,47.7434265,-123.2032514,9/2/21 0:00,79,0,1,0,1,1,1,1,1,0,0,0,1,0,1,0,No pass,https://www.wta.org/go-hiking/hikes/west-fork-dosewallips-river
